index,n,m,size,partition,addable_cells,removable_cells,weyl_a,weyl_b,weyl_c
0,3,1,6,"(3, 2, 1)","[(3, 0), (2, 1), (1, 2), (0, 3)]","[(2, 0), (1, 1), (0, 2)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
1,6,2,24,"(6, 6, 4, 4, 2, 2)","[(6, 0), (4, 2), (2, 4), (0, 6)]","[(5, 1), (3, 3), (1, 5)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
2,9,3,54,"(9, 9, 9, 6, 6, 6, 3, 3, 3)","[(9, 0), (6, 3), (3, 6), (0, 9)]","[(8, 2), (5, 5), (2, 8)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
3,12,4,96,"(12, 12, 12, 12, 8, 8, 8, 8, 4, 4, 4, 4)","[(12, 0), (8, 4), (4, 8), (0, 12)]","[(11, 3), (7, 7), (3, 11)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
4,15,5,150,"(15, 15, 15, 15, 15, 10, 10, 10, 10, 10, 5, 5, 5, 5, 5)","[(15, 0), (10, 5), (5, 10), (0, 15)]","[(14, 4), (9, 9), (4, 14)]",0.7853981633974482,0.2526802551420788,-0.08885530042255585
5,18,6,216,"(18, 18, 18, 18, 18, 18, 12, 12, 12, 12, 12, 12, 6, 6, 6, 6, 6, 6)","[(18, 0), (12, 6), (6, 12), (0, 18)]","[(17, 5), (11, 11), (5, 17)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
6,21,7,294,"(21, 21, 21, 21, 21, 21, 21, 14, 14, 14, 14, 14, 14, 14, 7, 7, 7, 7, 7, 7, 7)","[(21, 0), (14, 7), (7, 14), (0, 21)]","[(20, 6), (13, 13), (6, 20)]",0.7853981633974482,0.2526802551420788,-0.08885530042255585
7,24,8,384,"(24, 24, 24, 24, 24, 24, 24, 24, 16, 16, 16, 16, 16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8)","[(24, 0), (16, 8), (8, 16), (0, 24)]","[(23, 7), (15, 15), (7, 23)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
8,27,9,486,"(27, 27, 27, 27, 27, 27, 27, 27, 27, 18, 18, 18, 18, 18, 18, 18, 18, 18, 9, 9, 9, 9, 9, 9, 9, 9, 9)","[(27, 0), (18, 9), (9, 18), (0, 27)]","[(26, 8), (17, 17), (8, 26)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
9,30,10,600,"(30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10)","[(30, 0), (20, 10), (10, 20), (0, 30)]","[(29, 9), (19, 19), (9, 29)]",0.7853981633974482,0.2526802551420788,-0.08885530042255585
10,33,11,726,"(33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11)","[(33, 0), (22, 11), (11, 22), (0, 33)]","[(32, 10), (21, 21), (10, 32)]",0.7853981633974482,0.2526802551420788,-0.08885530042255585
11,36,12,864,"(36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12)","[(36, 0), (24, 12), (12, 24), (0, 36)]","[(35, 11), (23, 23), (11, 35)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
12,39,13,1014,"(39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13)","[(39, 0), (26, 13), (13, 26), (0, 39)]","[(38, 12), (25, 25), (12, 38)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
13,42,14,1176,"(42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14)","[(42, 0), (28, 14), (14, 28), (0, 42)]","[(41, 13), (27, 27), (13, 41)]",0.7853981633974482,0.2526802551420788,-0.08885530042255585
14,45,15,1350,"(45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15)","[(45, 0), (30, 15), (15, 30), (0, 45)]","[(44, 14), (29, 29), (14, 44)]",0.7853981633974482,0.2526802551420788,-0.08885530042255585
15,48,16,1536,"(48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16)","[(48, 0), (32, 16), (16, 32), (0, 48)]","[(47, 15), (31, 31), (15, 47)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
16,51,17,1734,"(51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17)","[(51, 0), (34, 17), (17, 34), (0, 51)]","[(50, 16), (33, 33), (16, 50)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
17,54,18,1944,"(54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18)","[(54, 0), (36, 18), (18, 36), (0, 54)]","[(53, 17), (35, 35), (17, 53)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
18,57,19,2166,"(57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)","[(57, 0), (38, 19), (19, 38), (0, 57)]","[(56, 18), (37, 37), (18, 56)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
19,60,20,2400,"(60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20)","[(60, 0), (40, 20), (20, 40), (0, 60)]","[(59, 19), (39, 39), (19, 59)]",0.7853981633974482,0.2526802551420788,-0.08885530042255585
20,63,21,2646,"(63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21)","[(63, 0), (42, 21), (21, 42), (0, 63)]","[(62, 20), (41, 41), (20, 62)]",0.7853981633974482,0.2526802551420788,-0.08885530042255585
21,66,22,2904,"(66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22)","[(66, 0), (44, 22), (22, 44), (0, 66)]","[(65, 21), (43, 43), (21, 65)]",0.7853981633974482,0.2526802551420788,-0.08885530042255585
22,69,23,3174,"(69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23)","[(69, 0), (46, 23), (23, 46), (0, 69)]","[(68, 22), (45, 45), (22, 68)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
23,72,24,3456,"(72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24)","[(72, 0), (48, 24), (24, 48), (0, 72)]","[(71, 23), (47, 47), (23, 71)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
24,75,25,3750,"(75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25)","[(75, 0), (50, 25), (25, 50), (0, 75)]","[(74, 24), (49, 49), (24, 74)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
25,78,26,4056,"(78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26)","[(78, 0), (52, 26), (26, 52), (0, 78)]","[(77, 25), (51, 51), (25, 77)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
26,81,27,4374,"(81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27)","[(81, 0), (54, 27), (27, 54), (0, 81)]","[(80, 26), (53, 53), (26, 80)]",0.7853981633974482,0.2526802551420788,-0.08885530042255585
27,84,28,4704,"(84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28)","[(84, 0), (56, 28), (28, 56), (0, 84)]","[(83, 27), (55, 55), (27, 83)]",0.7853981633974482,0.2526802551420788,-0.08885530042255585
28,87,29,5046,"(87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29)","[(87, 0), (58, 29), (29, 58), (0, 87)]","[(86, 28), (57, 57), (28, 86)]",0.7853981633974482,0.2526802551420788,-0.08885530042255585
29,90,30,5400,"(90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30)","[(90, 0), (60, 30), (30, 60), (0, 90)]","[(89, 29), (59, 59), (29, 89)]",0.7853981633974482,0.2526802551420788,-0.08885530042255585
30,93,31,5766,"(93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31)","[(93, 0), (62, 31), (31, 62), (0, 93)]","[(92, 30), (61, 61), (30, 92)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
31,96,32,6144,"(96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32)","[(96, 0), (64, 32), (32, 64), (0, 96)]","[(95, 31), (63, 63), (31, 95)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
32,99,33,6534,"(99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33)","[(99, 0), (66, 33), (33, 66), (0, 99)]","[(98, 32), (65, 65), (32, 98)]",0.7853981633974483,0.2526802551420788,0.08885530042255585
